crop,year,season,state,area,production,fertilizer,pesticide,yield,N,P,K,pH,avg_temp_c,total_rainfall_mm,avg_humidity_percent
maize,2018,whole year,Kerala,104.326,145,16921.6772,36.5141,4.508,65,28,50,5.7,26.92,1799.12,80.47
potato,2018,whole year,Kerala,536.9,7381,87085.18,187.915,13.75,65,28,50,5.7,26.92,1799.12,80.47
rice,2018,autumn,Kerala,60718.46,101943,9848534.212,21251.461,1.565384615,65,28,50,5.7,26.92,1799.12,80.47
rice,2018,summer,Kerala,48858.28,196784,7924813.016,17100.398,3.09,65,28,50,5.7,26.92,1799.12,80.47
rice,2018,winter,Kerala,88449.47,279529,14346504.03,30957.3145,2.684285714,65,28,50,5.7,26.92,1799.12,80.47
sugarcane,2018,whole year,Kerala,1011.88,106299,164126.936,354.158,81.14875,65,28,50,5.7,26.92,1799.12,80.47
wheat,2018,whole year,Kerala,1.4,2,227.08,0.49,1.45,65,28,50,5.7,26.92,1799.12,80.47
bajra,2018,kharif,Tamil Nadu,31109.0,88494,5045879.8,10888.15,2.8308,80,38,30,6.6,28.08,832.38,70.88
bajra,2018,rabi,Tamil Nadu,15773.0,29516,2558380.6,5520.55,2.042692308,80,38,30,6.6,28.08,832.38,70.88
maize,2018,kharif,Tamil Nadu,168944.0,1283603,27402716.8,59130.4,7.625384615,80,38,30,6.6,28.08,832.38,70.88
maize,2018,rabi,Tamil Nadu,221658.0,1550834,35952927.6,77580.3,6.984,80,38,30,6.6,28.08,832.38,70.88
potato,2018,kharif,Tamil Nadu,2334.0,25622,378574.8,816.9,13.195,80,38,30,6.6,28.08,832.38,70.88
potato,2018,rabi,Tamil Nadu,1198.0,23750,194315.6,419.3,23.2225,80,38,30,6.6,28.08,832.38,70.88
rice,2018,autumn,Tamil Nadu,279647.0,1198496,45358743.4,97876.45,4.184827586,80,38,30,6.6,28.08,832.38,70.88
rice,2018,summer,Tamil Nadu,236904.0,992095,38425828.8,82916.4,3.997333333,80,38,30,6.6,28.08,832.38,70.88
rice,2018,winter,Tamil Nadu,1204714.0,3940959,195404610.8,421649.9,3.749032258,80,38,30,6.6,28.08,832.38,70.88
sugarcane,2018,whole year,Tamil Nadu,166415.0,17096330,26992513.0,58245.25,99.34166667,80,38,30,6.6,28.08,832.38,70.88
bajra,2019,kharif,Andhra Pradesh,20484.0,47045,3518331.84,7579.08,2.004545455,78,45,22,6.8,28.2,1027.8,71.25
bajra,2019,rabi,Andhra Pradesh,4592.0,11322,788721.92,1699.04,2.48,78,45,22,6.8,28.2,1027.8,71.25
maize,2019,kharif,Andhra Pradesh,95591.0,450932,16418710.16,35368.67,4.653076923,78,45,22,6.8,28.2,1027.8,71.25
maize,2019,rabi,Andhra Pradesh,205100.0,1670288,35227976.0,75887.0,6.698461538,78,45,22,6.8,28.2,1027.8,71.25
potato,2019,kharif,Andhra Pradesh,453.0,6648,77807.28,167.61,12.21,78,45,22,6.8,28.2,1027.8,71.25
potato,2019,rabi,Andhra Pradesh,1050.0,15919,180348.0,388.5,13.155,78,45,22,6.8,28.2,1027.8,71.25
rice,2019,kharif,Andhra Pradesh,1526425.0,5342033,262178758.0,564777.25,3.517692308,78,45,22,6.8,28.2,1027.8,71.25
rice,2019,rabi,Andhra Pradesh,829557.0,3798058,142484710.3,306936.09,3.873076923,78,45,22,6.8,28.2,1027.8,71.25
sugarcane,2019,kharif,Andhra Pradesh,85911.0,6714729,14756073.36,31787.07,83.44538462,78,45,22,6.8,28.2,1027.8,71.25
wheat,2019,rabi,Andhra Pradesh,37.0,11,6355.12,13.69,0.155,78,45,22,6.8,28.2,1027.8,71.25
bajra,2019,kharif,Puducherry,14.0,36,2404.64,5.18,2.57,88,55,40,7.0,28.41,1060.94,75.48
bajra,2019,rabi,Puducherry,1.0,3,171.76,0.37,3.0,88,55,40,7.0,28.41,1060.94,75.48
bajra,2019,summer,Puducherry,7.0,18,1202.32,2.59,2.57,88,55,40,7.0,28.41,1060.94,75.48
rice,2019,kharif,Puducherry,4323.0,15171,742518.48,1599.51,3.216666667,88,55,40,7.0,28.41,1060.94,75.48
rice,2019,rabi,Puducherry,9397.0,28114,1614028.72,3476.89,3.883333333,88,55,40,7.0,28.41,1060.94,75.48
rice,2019,summer,Puducherry,4518.0,16060,776011.68,1671.66,3.55,88,55,40,7.0,28.41,1060.94,75.48
sugarcane,2019,kharif,Puducherry,1308.0,183120,224662.08,483.96,140.0,88,55,40,7.0,28.41,1060.94,75.48
maize,2019,kharif,Assam,36636.0,128036,6292599.36,13555.32,3.155555556,60,18,38,5.8,23.09,2368.95,78.3
potato,2019,whole year,Assam,104750.0,756222,17991860.0,38757.5,7.303703704,60,18,38,5.8,23.09,2368.95,78.3
rice,2019,autumn,Assam,127223.0,193215,21851822.48,47072.51,1.464814815,60,18,38,5.8,23.09,2368.95,78.3
rice,2019,summer,Assam,395518.0,1025571,67934171.68,146341.66,2.492307692,60,18,38,5.8,23.09,2368.95,78.3
rice,2019,winter,Assam,1878208.0,3996018,322601006.1,694936.96,2.137037037,60,18,38,5.8,23.09,2368.95,78.3
sugarcane,2019,whole year,Assam,29703.0,1218118,5101787.28,10990.11,38.92111111,60,18,38,5.8,23.09,2368.95,78.3
wheat,2019,rabi,Assam,11336.0,14430,1947071.36,4194.32,1.272083333,60,18,38,5.8,23.09,2368.95,78.3
maize,2019,kharif,Meghalaya,18174.0,41760,3121566.24,6724.38,2.254545455,52,16,33,5.6,18.07,4360.57,82.43
potato,2019,summer,Meghalaya,12577.0,143122,2160225.52,4653.49,8.257272727,52,16,33,5.6,18.07,4360.57,82.43
potato,2019,winter,Meghalaya,6366.0,44226,1093424.16,2355.42,6.527272727,52,16,33,5.6,18.07,4360.57,82.43
rice,2019,autumn,Meghalaya,33480.0,78074,5750524.8,12387.6,2.510909091,52,16,33,5.6,18.07,4360.57,82.43
rice,2019,rabi,Meghalaya,13628.0,63081,2340745.28,5042.36,2.57,52,16,33,5.6,18.07,4360.57,82.43
rice,2019,winter,Meghalaya,63889.0,162321,10973574.64,23638.93,2.36,52,16,33,5.6,18.07,4360.57,82.43
sugarcane,2019,whole year,Meghalaya,128.0,384,21985.28,47.36,2.675,52,16,33,5.6,18.07,4360.57,82.43
wheat,2019,rabi,Meghalaya,464.0,898,79696.64,171.68,1.638,52,16,33,5.6,18.07,4360.57,82.43
rice,2019,kharif,Goa,24411.0,60556,4192833.36,9032.07,2.475,65,25,45,6.2,27.55,3627.84,74.47
rice,2019,rabi,Goa,10287.0,29819,1766895.12,3806.19,2.95,65,25,45,6.2,27.55,3627.84,74.47
sugarcane,2019,whole year,Goa,811.0,53708,139297.36,300.07,70.115,65,25,45,6.2,27.55,3627.84,74.47
bajra,2019,kharif,Karnataka,328048.0,355678,56345524.48,121377.76,1.106666667,72,42,25,6.9,24.57,818.07,65.92
bajra,2019,summer,Karnataka,10904.0,11378,1872871.04,4034.48,1.038518519,72,42,25,6.9,24.57,818.07,65.92
maize,2019,kharif,Karnataka,1355321.0,4228095,232789935.0,501468.77,3.572068966,72,42,25,6.9,24.57,818.07,65.92
maize,2019,rabi,Karnataka,114070.0,394898,19592663.2,42205.9,3.466785714,72,42,25,6.9,24.57,818.07,65.92
maize,2019,summer,Karnataka,31000.0,122718,5324560.0,11470.0,3.905357143,72,42,25,6.9,24.57,818.07,65.92
potato,2019,kharif,Karnataka,17797.0,124958,3056812.72,6584.89,7.178214286,72,42,25,6.9,24.57,818.07,65.92
potato,2019,rabi,Karnataka,4477.0,69340,768969.52,1656.49,15.27291667,72,42,25,6.9,24.57,818.07,65.92
potato,2019,summer,Karnataka,458.0,7162,78666.08,169.46,15.88222222,72,42,25,6.9,24.57,818.07,65.92
rice,2019,kharif,Karnataka,964087.0,3088937,165591583.1,356712.19,2.924,72,42,25,6.9,24.57,818.07,65.92
rice,2019,rabi,Karnataka,11266.0,31038,1935048.16,4168.42,2.881428571,72,42,25,6.9,24.57,818.07,65.92
rice,2019,summer,Karnataka,272701.0,827998,46839123.76,100899.37,2.86862069,72,42,25,6.9,24.57,818.07,65.92
sugarcane,2019,whole year,Karnataka,428540.0,36034028,73606030.4,158559.8,81.45551724,72,42,25,6.9,24.57,818.07,65.92
wheat,2019,rabi,Karnataka,158319.0,180114,27192871.44,58578.03,1.08125,72,42,25,6.9,24.57,818.07,65.92
maize,2019,whole year,Kerala,113.0,140,19408.88,41.81,1.82,65,28,50,5.7,27.57,1778.18,78.55
potato,2019,whole year,Kerala,490.0,6569,84162.4,181.3,13.41,65,28,50,5.7,27.57,1778.18,78.55
rice,2019,autumn,Kerala,55895.0,145076,9600525.2,20681.15,1.949230769,65,28,50,5.7,27.57,1778.18,78.55
rice,2019,summer,Kerala,61006.0,212586,10478390.56,22572.22,2.815714286,65,28,50,5.7,27.57,1778.18,78.55
rice,2019,winter,Kerala,81279.0,247879,13960481.04,30073.23,2.503571429,65,28,50,5.7,27.57,1778.18,78.55
sugarcane,2019,whole year,Kerala,950.04,120835,163178.8704,351.5148,83.834,65,28,50,5.7,27.57,1778.18,78.55
wheat,2019,whole year,Kerala,1.0,2,171.76,0.37,2.0,65,28,50,5.7,27.57,1778.18,78.55
bajra,2019,kharif,Tamil Nadu,50298.0,140059,8639184.48,18610.26,2.9272,80,38,30,6.6,28.36,1207.03,72.52
bajra,2019,rabi,Tamil Nadu,17194.0,45024,2953241.44,6361.78,2.6984,80,38,30,6.6,28.36,1207.03,72.52
maize,2019,kharif,Tamil Nadu,168587.0,1506526,28956503.12,62377.19,8.614827586,80,38,30,6.6,28.36,1207.03,72.52
maize,2019,rabi,Tamil Nadu,164978.0,1108221,28336621.28,61041.86,6.841666667,80,38,30,6.6,28.36,1207.03,72.52
potato,2019,kharif,Tamil Nadu,2900.0,60513,498104.0,1073.0,21.384,80,38,30,6.6,28.36,1207.03,72.52
potato,2019,rabi,Tamil Nadu,1113.0,24207,191168.88,411.81,21.68,80,38,30,6.6,28.36,1207.03,72.52
rice,2019,autumn,Tamil Nadu,206535.0,847692,35474451.6,76417.95,4.077241379,80,38,30,6.6,28.36,1207.03,72.52
rice,2019,summer,Tamil Nadu,339990.0,1463054,58396682.4,125796.3,4.095,80,38,30,6.6,28.36,1207.03,72.52
rice,2019,winter,Tamil Nadu,1360882.0,4954415,233745092.3,503526.34,3.818387097,80,38,30,6.6,28.36,1207.03,72.52
sugarcane,2019,whole year,Tamil Nadu,131207.0,14119210,22536114.32,48546.59,102.7843333,80,38,30,6.6,28.36,1207.03,72.52
maize,1997,autumn,Odisha,51349.0,63331,4886884.33,15918.19,0.812,67,26,32,6.3,26.76,1508.87,70.98
maize,1997,summer,Odisha,1164.0,978,110777.88,360.84,0.945714286,67,26,32,6.3,26.76,1508.87,70.98
maize,1997,winter,Odisha,144.0,136,13704.48,44.64,0.9925,67,26,32,6.3,26.76,1508.87,70.98
potato,1997,whole year,Odisha,8887.0,87413,845775.79,2754.97,8.774,67,26,32,6.3,26.76,1508.87,70.98
sugarcane,1997,winter,Odisha,18682.0,1144012,1777965.94,5791.42,55.64206897,67,26,32,6.3,26.76,1508.87,70.98
wheat,1997,rabi,Odisha,5162.0,6360,491267.54,1600.22,0.856666667,67,26,32,6.3,26.76,1508.87,70.98
bajra,1997,kharif,Andhra Pradesh,89400.0,63600,8508198.0,27714.0,0.815882353,78,45,22,6.8,28.21,1191.08,69.56
maize,1997,kharif,Andhra Pradesh,305100.0,791500,29036367.0,94581.0,2.201818182,78,45,22,6.8,28.21,1191.08,69.56
maize,1997,rabi,Andhra Pradesh,90800.0,291800,8641436.0,28148.0,3.21,78,45,22,6.8,28.21,1191.08,69.56
rice,1997,kharif,Andhra Pradesh,2382500.0,5218300,226742525.0,738575.0,1.99173913,78,45,22,6.8,28.21,1191.08,69.56
rice,1997,rabi,Andhra Pradesh,1117700.0,3291700,106371509.0,346487.0,2.64,78,45,22,6.8,28.21,1191.08,69.56
sugarcane,1997,kharif,Andhra Pradesh,192500.0,13953300,18320225.0,59675.0,77.1065,78,45,22,6.8,28.21,1191.08,69.56
wheat,1997,rabi,Andhra Pradesh,11000.0,6000,1046870.0,3410.0,0.55375,78,45,22,6.8,28.21,1191.08,69.56
bajra,1997,kharif,Bihar,5894.0,3594,560931.98,1827.14,0.603225806,85,30,25,7.2,25.76,1263.31,54.36
maize,1997,kharif,Bihar,375000.0,456375,35688750.0,116250.0,1.260185185,85,30,25,7.2,25.76,1263.31,54.36
maize,1997,rabi,Bihar,181914.0,546011,17312755.38,56393.34,2.803555556,85,30,25,7.2,25.76,1263.31,54.36
maize,1997,summer,Bihar,143522.0,307134,13658988.74,44491.82,2.025192308,85,30,25,7.2,25.76,1263.31,54.36
potato,1997,whole year,Bihar,168074.0,1465659,15995602.58,52102.94,8.929636364,85,30,25,7.2,25.76,1263.31,54.36
rice,1997,autumn,Bihar,749671.0,892725,71346189.07,232398.01,1.102244898,85,30,25,7.2,25.76,1263.31,54.36
rice,1997,summer,Bihar,124429.0,236446,11841907.93,38572.99,1.683265306,85,30,25,7.2,25.76,1263.31,54.36
rice,1997,winter,Bihar,4238204.0,6004120,403349874.7,1313843.24,1.354363636,85,30,25,7.2,25.76,1263.31,54.36
sugarcane,1997,whole year,Bihar,107424.0,4939899,10223542.08,33301.44,50.18152174,85,30,25,7.2,25.76,1263.31,54.36
wheat,1997,rabi,Bihar,2067610.0,4048699,196774443.7,640959.1,1.811090909,85,30,25,7.2,25.76,1263.31,54.36
bajra,1997,kharif,Gujarat,915800.0,1114500,87156686.0,283898.0,1.218235294,75,38,28,7.8,26.78,1009.83,51.08
bajra,1997,summer,Gujarat,179800.0,380400,17111566.0,55738.0,2.135,75,38,28,7.8,26.78,1009.83,51.08
maize,1997,whole year,Gujarat,399800.0,659000,38048966.0,123938.0,1.690666667,75,38,28,7.8,26.78,1009.83,51.08
potato,1997,whole year,Gujarat,28500.0,623900,2712345.0,8835.0,21.167,75,38,28,7.8,26.78,1009.83,51.08
rice,1997,whole year,Gujarat,672600.0,1042300,64011342.0,208506.0,1.665,75,38,28,7.8,26.78,1009.83,51.08
sugarcane,1997,whole year,Gujarat,165000.0,11832000,15703050.0,51150.0,72.99533333,75,38,28,7.8,26.78,1009.83,51.08
wheat,1997,rabi,Gujarat,694000.0,1647100,66047980.0,215140.0,2.36,75,38,28,7.8,26.78,1009.83,51.08
bajra,1997,kharif,Madhya Pradesh,141400.0,154100,13457038.0,43834.0,0.929473684,70,40,20,7.4,24.4,1390.54,56.67
maize,1997,kharif,Madhya Pradesh,808300.0,1085400,76925911.0,250573.0,1.143023256,70,40,20,7.4,24.4,1390.54,56.67
wheat,1997,rabi,Madhya Pradesh,4507600.0,7088900,428988292.0,1397356.0,1.475681818,70,40,20,7.4,24.4,1390.54,56.67
bajra,1997,kharif,Maharashtra,1671200.0,1119000,159048104.0,518072.0,0.632272727,75,43,26,7.1,26.37,2053.66,68.68
maize,1997,autumn,Maharashtra,21.0,19695,1998.57,6.51,989.87,75,43,26,7.1,26.37,2053.66,68.68
maize,1997,kharif,Maharashtra,187600.0,219700,17853892.0,58156.0,1.082083333,75,43,26,7.1,26.37,2053.66,68.68
maize,1997,rabi,Maharashtra,45800.0,65400,4358786.0,14198.0,1.476875,75,43,26,7.1,26.37,2053.66,68.68
maize,1997,summer,Maharashtra,7500.0,12500,713775.0,2325.0,1.407777778,75,43,26,7.1,26.37,2053.66,68.68
rice,1997,kharif,Maharashtra,1339000.0,2330000,127432630.0,415090.0,8.778275862,75,43,26,7.1,26.37,2053.66,68.68
rice,1997,summer,Maharashtra,329.0,646,31310.93,101.99,2.018888889,75,43,26,7.1,26.37,2053.66,68.68
sugarcane,1997,kharif,Maharashtra,183300.0,158866,17444661.0,56823.0,0.863333333,75,43,26,7.1,26.37,2053.66,68.68
wheat,1997,rabi,Maharashtra,747300.0,670600,71120541.0,231663.0,0.8476,75,43,26,7.1,26.37,2053.66,68.68
maize,1997,kharif,Mizoram,8140.0,16256,774683.8,2523.4,2.0875,54,15,34,5.7,22.66,1730.69,73.06
maize,1997,rabi,Mizoram,120.0,243,11420.4,37.2,2.15,54,15,34,5.7,22.66,1730.69,73.06
rice,1997,whole year,Mizoram,68114.0,110573,6482409.38,21115.34,1.6,54,15,34,5.7,22.66,1730.69,73.06
sugarcane,1997,whole year,Mizoram,1252.0,7488,119152.84,388.12,5.8,54,15,34,5.7,22.66,1730.69,73.06
wheat,1997,rabi,Mizoram,22.0,11,2093.74,6.82,0.5,54,15,34,5.7,22.66,1730.69,73.06
bajra,1997,kharif,Punjab,8000.0,8000,761360.0,2480.0,1.0,150,50,40,8.0,23.39,942.38,46.2
maize,1997,kharif,Punjab,165000.0,345000,15703050.0,51150.0,2.102727273,150,50,40,8.0,23.39,942.38,46.2
rice,1997,kharif,Punjab,2281000.0,7904000,217082770.0,707110.0,3.476470588,150,50,40,8.0,23.39,942.38,46.2
sugarcane,1997,whole year,Punjab,126000.0,7150000,11991420.0,39060.0,58.046875,150,50,40,8.0,23.39,942.38,46.2
wheat,1997,rabi,Punjab,3300000.0,12715000,314061000.0,1023000.0,3.781176471,150,50,40,8.0,23.39,942.38,46.2
bajra,1997,kharif,Uttar Pradesh,864228.0,1252811,82248578.76,267910.68,1.324,120,45,35,7.6,26.03,711.1,45.12
maize,1997,kharif,Uttar Pradesh,1017592.0,1598438,96844230.64,315453.52,1.498125,120,45,35,7.6,26.03,711.1,45.12
maize,1997,summer,Uttar Pradesh,10385.0,16398,988340.45,3219.35,1.577936508,120,45,35,7.6,26.03,711.1,45.12
potato,1997,whole year,Uttar Pradesh,400234.0,5869975,38090269.78,124072.54,13.6445,120,45,35,7.6,26.03,711.1,45.12
rice,1997,kharif,Uttar Pradesh,5726527.0,12262794,544993574.6,1775223.37,2.037,120,45,35,7.6,26.03,711.1,45.12
rice,1997,summer,Uttar Pradesh,6607.0,18281,628788.19,2048.17,2.202903226,120,45,35,7.6,26.03,711.1,45.12
sugarcane,1997,kharif,Uttar Pradesh,6719.0,379133,639447.23,2082.89,56.43,120,45,35,7.6,26.03,711.1,45.12
sugarcane,1997,whole year,Uttar Pradesh,1985223.0,121066703,188933672.9,615419.13,53.15815789,120,45,35,7.6,26.03,711.1,45.12
wheat,1997,rabi,Uttar Pradesh,9152928.0,22830886,871084157.8,2837407.68,2.416,120,45,35,7.6,26.03,711.1,45.12
bajra,1998,kharif,Andhra Pradesh,120000.0,114500,11856000.0,34800.0,0.988235294,78,45,22,6.8,28.21,1100.41,71.95
bajra,1998,rabi,Andhra Pradesh,7300.0,4600,721240.0,2117.0,0.905714286,78,45,22,6.8,28.21,1100.41,71.95
maize,1998,kharif,Andhra Pradesh,314900.0,1019800,31112120.0,91321.0,2.479545455,78,45,22,6.8,28.21,1100.41,71.95
maize,1998,rabi,Andhra Pradesh,83700.0,363700,8269560.0,24273.0,4.245,78,45,22,6.8,28.21,1100.41,71.95
rice,1998,kharif,Andhra Pradesh,2812400.0,7005800,277865120.0,815596.0,2.47,78,45,22,6.8,28.21,1100.41,71.95
rice,1998,rabi,Andhra Pradesh,1504200.0,4872200,148614960.0,436218.0,2.986086957,78,45,22,6.8,28.21,1100.41,71.95
sugarcane,1998,whole year,Andhra Pradesh,213700.0,16501700,21113560.0,61973.0,81.223,78,45,22,6.8,28.21,1100.41,71.95
wheat,1998,rabi,Andhra Pradesh,11500.0,6400,1136200.0,3335.0,0.468888889,78,45,22,6.8,28.21,1100.41,71.95
bajra,1998,kharif,Bihar,6180.0,3640,610584.0,1792.2,0.578787879,85,30,25,7.2,26.1,1017.81,58.59
maize,1998,kharif,Bihar,369521.0,395957,36508674.8,107161.09,1.276363636,85,30,25,7.2,26.1,1017.81,58.59
maize,1998,rabi,Bihar,190119.0,541979,18783757.2,55134.51,2.834545455,85,30,25,7.2,26.1,1017.81,58.59
maize,1998,summer,Bihar,151459.0,364449,14964149.2,43923.11,2.175306122,85,30,25,7.2,26.1,1017.81,58.59
potato,1998,whole year,Bihar,178428.0,1721987,17628686.4,51744.12,9.751454545,85,30,25,7.2,26.1,1017.81,58.59
rice,1998,summer,Bihar,132836.0,270992,13124196.8,38522.44,1.765777778,85,30,25,7.2,26.1,1017.81,58.59
rice,1998,winter,Bihar,4234443.0,5722449,418362968.4,1227988.47,1.242909091,85,30,25,7.2,26.1,1017.81,58.59
sugarcane,1998,whole year,Bihar,106935.0,5101066,10565178.0,31011.15,39.29543478,85,30,25,7.2,26.1,1017.81,58.59
wheat,1998,rabi,Bihar,2121335.0,4403655,209587898.0,615187.15,1.889272727,85,30,25,7.2,26.1,1017.81,58.59
bajra,1998,kharif,Gujarat,855600.0,851900,84533280.0,248124.0,1.038125,75,38,28,7.8,27.88,758.93,47.48
bajra,1998,summer,Gujarat,182000.0,428600,17981600.0,52780.0,2.252142857,75,38,28,7.8,27.88,758.93,47.48
maize,1998,kharif,Gujarat,408300.0,696000,40340040.0,118407.0,1.649411765,75,38,28,7.8,27.88,758.93,47.48
potato,1998,whole year,Gujarat,31600.0,712900,3122080.0,9164.0,22.369,75,38,28,7.8,27.88,758.93,47.48
rice,1998,kharif,Gujarat,622100.0,1015900,61463480.0,180409.0,1.695384615,75,38,28,7.8,27.88,758.93,47.48
sugarcane,1998,whole year,Gujarat,196300.0,13565000,19394440.0,56927.0,70.090625,75,38,28,7.8,27.88,758.93,47.48
wheat,1998,rabi,Gujarat,705400.0,1702600,69693520.0,204566.0,2.425263158,75,38,28,7.8,27.88,758.93,47.48
bajra,1998,kharif,Haryana,613174.0,618800,60581591.2,177820.46,1.006842105,130,48,35,7.9,24.04,986.16,46.65
maize,1998,kharif,Haryana,20117.0,39000,1987559.6,5833.93,0.938235294,130,48,35,7.9,24.04,986.16,46.65
potato,1998,whole year,Haryana,13467.0,212700,1330539.6,3905.43,14.64631579,130,48,35,7.9,24.04,986.16,46.65
rice,1998,kharif,Haryana,1086694.0,2432000,107365367.2,315141.26,2.286666667,130,48,35,7.9,24.04,986.16,46.65
sugarcane,1998,whole year,Haryana,128074.0,7010000,12653711.2,37141.46,51.58421053,130,48,35,7.9,24.04,986.16,46.65
wheat,1998,rabi,Haryana,2185662.0,8563000,215943405.6,633841.98,3.825789474,130,48,35,7.9,24.04,986.16,46.65
bajra,1998,kharif,Himachal Pradesh,469.0,266,46337.2,136.01,1.476666667,60,20,40,6.0,21.24,962.76,47.03
maize,1998,kharif,Himachal Pradesh,300976.0,662272,29736428.8,87283.04,2.23,60,20,40,6.0,21.24,962.76,47.03
potato,1998,kharif,Himachal Pradesh,10580.0,124547,1045304.0,3068.2,11.007,60,20,40,6.0,21.24,962.76,47.03
potato,1998,rabi,Himachal Pradesh,3251.0,28756,321198.8,942.79,10.772,60,20,40,6.0,21.24,962.76,47.03
rice,1998,kharif,Himachal Pradesh,82125.0,116997,8113950.0,23816.25,1.455454545,60,20,40,6.0,21.24,962.76,47.03
wheat,1998,rabi,Himachal Pradesh,379718.0,481267,37516138.4,110118.22,1.363333333,60,20,40,6.0,21.24,962.76,47.03
bajra,1998,kharif,Madhya Pradesh,145600.0,172300,14385280.0,42224.0,0.913478261,70,40,20,7.4,25.01,1049.84,56.61
maize,1998,kharif,Madhya Pradesh,797600.0,1171600,78802880.0,231304.0,1.294035088,70,40,20,7.4,25.01,1049.84,56.61
rice,1998,kharif,Madhya Pradesh,5438800.0,3346300,537353440.0,1577252.0,0.586785714,70,40,20,7.4,25.01,1049.84,56.61
sugarcane,1998,whole year,Madhya Pradesh,72440.0,1609360,7157072.0,21007.6,17.87372881,70,40,20,7.4,25.01,1049.84,56.61
wheat,1998,rabi,Madhya Pradesh,4577900.0,8179600,452296520.0,1327591.0,1.618983051,70,40,20,7.4,25.01,1049.84,56.61
bajra,1998,kharif,Maharashtra,1759700.0,1492500,173858360.0,510313.0,0.739545455,75,43,26,7.1,26.75,2133.35,69.3
maize,1998,kharif,Maharashtra,200400.0,400400,19799520.0,58116.0,1.952608696,75,43,26,7.1,26.75,2133.35,69.3
maize,1998,rabi,Maharashtra,58800.0,87600,5809440.0,17052.0,1.399444444,75,43,26,7.1,26.75,2133.35,69.3
maize,1998,summer,Maharashtra,10900.0,17500,1076920.0,3161.0,1.426666667,75,43,26,7.1,26.75,2133.35,69.3
rice,1998,kharif,Maharashtra,1445700.0,2395100,142835160.0,419253.0,1.267241379,75,43,26,7.1,26.75,2133.35,69.3
rice,1998,summer,Maharashtra,37400.0,72500,3695120.0,10846.0,2.053333333,75,43,26,7.1,26.75,2133.35,69.3
sugarcane,1998,kharif,Maharashtra,529800.0,47151100,52344240.0,153642.0,84.55434783,75,43,26,7.1,26.75,2133.35,69.3
wheat,1998,rabi,Maharashtra,1015500.0,1308500,100331400.0,294495.0,1.265,75,43,26,7.1,26.75,2133.35,69.3
bajra,1998,kharif,Punjab,4000.0,4000,395200.0,1160.0,1.0,150,50,40,8.0,24.04,986.16,46.65
maize,1998,kharif,Punjab,154000.0,352000,15215200.0,44660.0,2.42,150,50,40,8.0,24.04,986.16,46.65
rice,1998,kharif,Punjab,2519000.0,7940000,248877200.0,730510.0,3.099411765,150,50,40,8.0,24.04,986.16,46.65
sugarcane,1998,whole year,Punjab,103000.0,6130000,10176400.0,29870.0,60.698,150,50,40,8.0,24.04,986.16,46.65
wheat,1998,rabi,Punjab,3338000.0,14460000,329794400.0,968020.0,4.298823529,150,50,40,8.0,24.04,986.16,46.65
bajra,1998,kharif,Tamil Nadu,196002.0,309644,19364997.6,56840.58,1.783043478,80,38,30,6.6,28.32,1115.79,72.23
maize,1998,kharif,Tamil Nadu,70179.0,111983,6933685.2,20351.91,1.606666667,80,38,30,6.6,28.32,1115.79,72.23
potato,1998,whole year,Tamil Nadu,2864.0,47513,282963.2,830.56,19.0875,80,38,30,6.6,28.32,1115.79,72.23
rice,1998,kharif,Tamil Nadu,2386399.0,8215286,235776221.2,692055.71,3.445,80,38,30,6.6,28.32,1115.79,72.23
sugarcane,1998,whole year,Tamil Nadu,347910.0,46672800,34373508.0,100893.9,136.0751852,80,38,30,6.6,28.32,1115.79,72.23
maize,1998,kharif,Tripura,2320.0,1730,229216.0,672.8,0.7475,62,20,35,5.9,25.37,1919.99,73.93
rice,1998,kharif,Tripura,255487.0,491430,25242115.6,74091.23,1.8775,62,20,35,5.9,25.37,1919.99,73.93
sugarcane,1998,whole year,Tripura,1080.0,51300,106704.0,313.2,48.21,62,20,35,5.9,25.37,1919.99,73.93
wheat,1998,rabi,Tripura,1110.0,2100,109668.0,321.9,1.9025,62,20,35,5.9,25.37,1919.99,73.93
bajra,1998,kharif,Uttar Pradesh,842795.0,979347,83268146.0,244410.55,1.110714286,120,45,35,7.6,25.83,962.01,51.68
maize,1998,kharif,Uttar Pradesh,995794.0,1012898,98384447.2,288780.26,0.933780488,120,45,35,7.6,25.83,962.01,51.68
maize,1998,summer,Uttar Pradesh,10551.0,10699,1042438.8,3059.79,1.01047619,120,45,35,7.6,25.83,962.01,51.68
potato,1998,whole year,Uttar Pradesh,429231.0,9793745,42408022.8,124476.99,21.38225,120,45,35,7.6,25.83,962.01,51.68
rice,1998,kharif,Uttar Pradesh,5875153.0,11374070,580465116.4,1703794.37,1.865060241,120,45,35,7.6,25.83,962.01,51.68
rice,1998,summer,Uttar Pradesh,5629.0,12643,556145.2,1632.41,2.015172414,120,45,35,7.6,25.83,962.01,51.68
sugarcane,1998,whole year,Uttar Pradesh,1974642.0,116483396,195094629.6,572646.18,51.80960526,120,45,35,7.6,25.83,962.01,51.68
wheat,1998,rabi,Uttar Pradesh,9317904.0,23465191,920608915.2,2702192.16,2.37373494,120,45,35,7.6,25.83,962.01,51.68
bajra,1999,kharif,Bihar,1629.0,990,172885.77,439.83,0.631666667,85,30,25,7.2,26.37,887.84,51.93
